file_name,corpus,model_name,model_size,prompt,vocab,mean,sd,vocab_size,total_words,alpha,beta,singleton_count,r
wiki_pythia-1.4b_fewshotopen.json,wiki,pythia,1.4b,fewshot,open,203.82,31.95,230393,12229198,8.3876,0.6261,115801,0.99994419
wiki_pythia-1.4b_fewshotopen.json,wiki,pythia,1.4b,fewshot,open,203.82,31.95,230393,12229198,8.9465,0.6223,115801,0.999986689
wiki_pythia-1.4b_fewshotopen.json,wiki,pythia,1.4b,fewshot,open,203.82,31.95,230393,12229198,8.4753,0.6255,115801,0.999949565
book2_opt-1.3b_oneshotopen.json,book2,opt,1.3b,oneshot,open,178.16,68.49,51787,10689532,4.164,0.5827,24042,0.999970691
book2_opt-1.3b_oneshotopen.json,book2,opt,1.3b,oneshot,open,178.16,68.49,51787,10689532,4.908,0.5724,24042,0.999947601
book2_opt-1.3b_oneshotopen.json,book2,opt,1.3b,oneshot,open,178.16,68.49,51787,10689532,4.859,0.5729,24042,0.999955742
wiki_pythia-160m_oneshotclosed.json,wiki,pythia,160m,oneshot,closed,128.54,42.96,38785,7712511,269.6846,0.3144,9069,0.99612149
wiki_pythia-160m_oneshotclosed.json,wiki,pythia,160m,oneshot,closed,128.54,42.96,38785,7712511,267.6937,0.3146,9069,0.996356671
wiki_pythia-160m_oneshotclosed.json,wiki,pythia,160m,oneshot,closed,128.54,42.96,38785,7712511,266.922,0.3149,9069,0.995875706
wiki_pythia-1b_zeroshotclosed.json,wiki,pythia,1b,zeroshot,closed,155.24,15.81,28271,9314421,176.0116,0.3174,7711,0.996641516
wiki_pythia-1b_zeroshotclosed.json,wiki,pythia,1b,zeroshot,closed,155.24,15.81,28271,9314421,169.0776,0.32,7711,0.996796869
wiki_pythia-1b_zeroshotclosed.json,wiki,pythia,1b,zeroshot,closed,155.24,15.81,28271,9314421,173.9324,0.3181,7711,0.996993292
book2_pythia-160m_fewshotopen.json,book2,pythia,160m,fewshot,open,215.66,35.48,67946,12939606,6.7388,0.5628,35241,0.999902042
book2_pythia-160m_fewshotopen.json,book2,pythia,160m,fewshot,open,215.66,35.48,67946,12939606,5.1922,0.5788,35241,0.999643223
book2_pythia-160m_fewshotopen.json,book2,pythia,160m,fewshot,open,215.66,35.48,67946,12939606,5.6974,0.5729,35241,0.999697395
book2_gptneo-125m_oneshotclosed.json,book2,gptneo,125m,oneshot,closed,126.53,64.73,18951,7591974,78.6743,0.3467,5617,0.999192847
book2_gptneo-125m_oneshotclosed.json,book2,gptneo,125m,oneshot,closed,126.53,64.73,18951,7591974,78.6049,0.3468,5617,0.9989762
book2_gptneo-125m_oneshotclosed.json,book2,gptneo,125m,oneshot,closed,126.53,64.73,18951,7591974,83.8104,0.3429,5617,0.998809339
pubmed_gptneo-2.7b_oneshotopen.json,pubmed,gptneo,2.7b,oneshot,open,154.44,71.27,110551,9266672,24.4791,0.5243,47678,0.999920225
pubmed_gptneo-2.7b_oneshotopen.json,pubmed,gptneo,2.7b,oneshot,open,154.44,71.27,110551,9266672,22.4583,0.5296,47678,0.999936438
pubmed_gptneo-2.7b_oneshotopen.json,pubmed,gptneo,2.7b,oneshot,open,154.44,71.27,110551,9266672,22.9247,0.5285,47678,0.999944675
book2_opt-2.7b_oneshotclosed.json,book2,opt,2.7b,oneshot,closed,99.81,65.78,35078,5988458,172.8521,0.3417,8699,0.995058937
book2_opt-2.7b_oneshotclosed.json,book2,opt,2.7b,oneshot,closed,99.81,65.78,35078,5988458,174.4185,0.341,8699,0.99557652
book2_opt-2.7b_oneshotclosed.json,book2,opt,2.7b,oneshot,closed,99.81,65.78,35078,5988458,157.4784,0.3477,8699,0.995746648
book2_pythia-70m_oneshotopen.json,book2,pythia,70m,oneshot,open,198.58,42.72,141811,11915069,2.0936,0.6824,83144,0.999697396
book2_pythia-70m_oneshotopen.json,book2,pythia,70m,oneshot,open,198.58,42.72,141811,11915069,2.2144,0.679,83144,0.999793995
book2_pythia-70m_oneshotopen.json,book2,pythia,70m,oneshot,open,198.58,42.72,141811,11915069,2.2427,0.6781,83144,0.999682686
book2_pythia-1b_fewshotclosed.json,book2,pythia,1b,fewshot,closed,176.25,16.42,27708,10575057,79.9795,0.3624,8086,0.997714675
book2_pythia-1b_fewshotclosed.json,book2,pythia,1b,fewshot,closed,176.25,16.42,27708,10575057,82.8599,0.36,8086,0.998090193
book2_pythia-1b_fewshotclosed.json,book2,pythia,1b,fewshot,closed,176.25,16.42,27708,10575057,84.02,0.3591,8086,0.998165969
hn_pythia-1b_fewshotopen.json,hn,pythia,1b,fewshot,open,202.38,36.31,181389,12143062,1.1845,0.7315,128653,0.999777128
hn_pythia-1b_fewshotopen.json,hn,pythia,1b,fewshot,open,202.38,36.31,181389,12143062,1.007,0.7415,128653,0.999812489
hn_pythia-1b_fewshotopen.json,hn,pythia,1b,fewshot,open,202.38,36.31,181389,12143062,1.1191,0.735,128653,0.999838564
wiki_gptneo-125m_oneshotopen.json,wiki,gptneo,125m,oneshot,open,140.69,85.36,126130,8441366,3.7662,0.6529,75853,0.999687323
